Percentage served,Time in ms
0,2002.308
1,2002.308
2,2002.308
3,2002.308
4,2002.308
5,2002.501
6,2002.501
7,2002.501
8,2002.501
9,2002.501
10,2002.501
11,2002.501
12,2002.501
13,2002.501
14,2002.501
15,2002.585
16,2002.585
17,2002.585
18,2002.585
19,2002.585
20,2002.585
21,2002.585
22,2002.585
23,2002.585
24,2002.585
25,2002.603
26,2002.603
27,2002.603
28,2002.603
29,2002.603
30,2002.603
31,2002.603
32,2002.603
33,2002.603
34,2002.603
35,2002.673
36,2002.673
37,2002.673
38,2002.673
39,2002.673
40,2002.673
41,2002.673
42,2002.673
43,2002.673
44,2002.673
45,2002.720
46,2002.720
47,2002.720
48,2002.720
49,2002.720
50,2002.720
51,2002.720
52,2002.720
53,2002.720
54,2002.720
55,2002.847
56,2002.847
57,2002.847
58,2002.847
59,2002.847
60,2002.847
61,2002.847
62,2002.847
63,2002.847
64,2002.847
65,2002.931
66,2002.931
67,2002.931
68,2002.931
69,2002.931
70,2002.931
71,2002.931
72,2002.931
73,2002.931
74,2002.931
75,2003.062
76,2003.062
77,2003.062
78,2003.062
79,2003.062
80,2003.062
81,2003.062
82,2003.062
83,2003.062
84,2003.062
85,2005.014
86,2005.014
87,2005.014
88,2005.014
89,2005.014
90,2005.014
91,2005.014
92,2005.014
93,2005.014
94,2005.014
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,2005.014
