Percentage served,Time in ms
0,2002.994
1,2002.994
2,2002.994
3,2004.507
4,2004.507
5,2004.507
6,2004.507
7,2004.507
8,2004.748
9,2004.748
10,2004.748
11,2004.748
12,2004.748
13,2004.773
14,2004.773
15,2004.773
16,2004.773
17,2004.773
18,2004.792
19,2004.792
20,2004.792
21,2004.792
22,2004.792
23,2004.870
24,2004.870
25,2004.870
26,2004.870
27,2004.870
28,2004.889
29,2004.889
30,2004.889
31,2004.889
32,2004.889
33,2004.902
34,2004.902
35,2004.902
36,2004.902
37,2004.902
38,2005.016
39,2005.016
40,2005.016
41,2005.016
42,2005.016
43,2005.031
44,2005.031
45,2005.031
46,2005.031
47,2005.031
48,2005.140
49,2005.140
50,2005.140
51,2005.140
52,2005.140
53,2005.168
54,2005.168
55,2005.168
56,2005.168
57,2005.168
58,2005.257
59,2005.257
60,2005.257
61,2005.257
62,2005.257
63,2005.370
64,2005.370
65,2005.370
66,2005.370
67,2005.370
68,2005.374
69,2005.374
70,2005.374
71,2005.374
72,2005.374
73,2005.510
74,2005.510
75,2005.510
76,2005.510
77,2005.510
78,2005.518
79,2005.518
80,2005.518
81,2005.518
82,2005.518
83,2005.542
84,2005.542
85,2005.542
86,2005.542
87,2005.542
88,2005.702
89,2005.702
90,2005.702
91,2005.702
92,2005.702
93,2005.844
94,2005.844
95,2005.844
96,2005.844
97,2005.844
98,0.000
99,0.000
100,2005.844
