Percentage served,Time in ms
0,2009.557
1,2009.688
2,2009.688
3,2009.791
4,2009.791
5,2010.091
6,2010.215
7,2010.215
8,2010.218
9,2010.218
10,2010.232
11,2010.246
12,2010.246
13,2010.278
14,2010.278
15,2010.292
16,2010.299
17,2010.299
18,2010.358
19,2010.358
20,2010.474
21,2010.474
22,2010.474
23,2010.476
24,2010.476
25,2010.528
26,2010.556
27,2010.556
28,2010.613
29,2010.613
30,2010.687
31,2010.717
32,2010.717
33,2010.773
34,2010.773
35,2010.811
36,2010.870
37,2010.870
38,2010.932
39,2010.932
40,2011.251
41,2011.332
42,2011.332
43,2011.408
44,2011.408
45,2011.508
46,2011.554
47,2011.554
48,2011.599
49,2011.599
50,2011.621
51,2011.653
52,2011.653
53,2011.653
54,2011.653
55,2011.674
56,2011.690
57,2011.690
58,2011.709
59,2011.709
60,2011.746
61,2011.749
62,2011.749
63,2011.765
64,2011.765
65,2011.796
66,2011.805
67,2011.805
68,2011.912
69,2011.912
70,2012.006
71,2012.015
72,2012.015
73,2012.046
74,2012.046
75,2012.064
76,2012.173
77,2012.173
78,2012.262
79,2012.262
80,2012.286
81,2012.462
82,2012.462
83,2012.467
84,2012.467
85,2012.524
86,2012.871
87,2012.871
88,2012.999
89,2012.999
90,2013.150
91,2013.196
92,2013.196
93,2013.201
94,2013.201
95,2013.219
96,2013.230
97,2013.230
98,2013.478
99,2013.478
100,2013.478
